code,name,last_price,change_pct,change_amount,volume,amount,amplitude,turnover_rate,pe,pb,open,high,low,source,update_time
bj920504,博迅生物,16.43,-1.203,-0.2,209113.0,3470284.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920505,九菱科技,30.59,0.033,0.01,345172.0,10692989.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920508,殷图网联,13.84,0.655,0.09,232443.0,3258361.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920509,同惠电子,26.06,-2.36,-0.63,1136924.0,29969197.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920510,丰光精密,28.59,2.473,0.69,12141465.0,351750471.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920519,万德股份,9.85,1.756,0.17,795462.0,7879957.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920522,纳科诺尔,24.47,-0.65,-0.16,3653084.0,92007960.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920523,德瑞锂电,16.65,2.462,0.4,1662504.0,28344687.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920526,凯华材料,29.11,1.606,0.46,3350987.0,96101725.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920527,夜光明,16.5,21.234,2.89,6020592.0,99843621.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920533,骏创科技,20.42,-0.874,-0.18,1215388.0,25394555.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920541,铁大科技,9.25,0.0,0.0,160754.0,1491425.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
bj920547,无锡晶海,18.04,-2.01,-0.37,478007.0,8650841.0,,,,,,,,akshare,2026-07-07T11:17:52+08:00
