symbol,name,report_date,pub_date,year,quarter,roe,net_margin,gross_margin,net_profit,eps,revenue,debt_ratio,source
688361,中科飞测,2025-12-31,2026-04-30,2025,4,-1.333613535200,,47.771810979500,,-0.21,,36.828347224800,mxdata
688362,甬矽电子,2025-12-31,2026-04-30,2025,4,1.013525801100,,17.510962152900,,0.07,,74.032423508300,mxdata
688368,晶丰明源,2025-12-31,2026-04-30,2025,4,2.97,,38.796958209800,,0.4,,40.139736787200,mxdata
688369,致远互联,2025-12-31,2026-04-30,2025,4,-24.83,,56.836788768700,,-2.01,,45.853811957700,mxdata
688383,新益昌,2025-12-31,2026-04-30,2025,4,-9.7,,29.343320815100,,-1.26,,58.534296972300,mxdata
688385,复旦微电,2025-12-31,2026-04-30,2025,4,3.88,,56.185518256600,,0.28,,26.625930502600,mxdata
688388,嘉元科技,2025-12-31,2026-04-30,2025,4,0.82,,4.951196221200,,0.13,,51.92098973100,mxdata
688368,晶丰明源,2025-12-31,2026-04-30,2025,4,3.01,,37.407693667600,,0.41,,44.145109736300,mxdata
688369,致远互联,2025-12-31,2026-04-30,2025,4,-8.19,,57.614996274200,,-0.56,,44.906152576700,mxdata
688383,新益昌,2025-12-31,2026-04-30,2025,4,1.71,,38.904704001100,,0.21,,58.148294167900,mxdata
688385,复旦微电,2025-12-31,2026-04-30,2025,4,2.39,,55.274051975600,,0.18,,24.890040860900,mxdata
688388,嘉元科技,2025-12-31,2026-04-30,2025,4,1.67,,7.477193241200,,0.28,,45.68200272300,mxdata
688400,凌云光,2025-12-31,2026-04-30,2025,4,4.010006030900,,42.374220039700,,0.43,,26.365358930700,mxdata
688498,源杰科技,2025-12-31,2026-04-30,2025,4,7.38,,77.807861627400,,2.09,,10.716239341400,mxdata
688505,复旦张江,2025-12-31,2026-04-30,2025,4,0.36,,91.759542820400,,0.01,,9.468800519300,mxdata
688400,凌云光,2025-12-31,2026-04-30,2025,4,0.691786203900,,34.786782929800,,0.35,,31.81880384300,mxdata
688498,源杰科技,2025-12-31,2026-04-30,2025,4,8.68,,58.107478545900,,2.24,,9.51330064300,mxdata
688505,复旦张江,2025-12-31,2026-04-30,2025,4,-7.12,,89.893304423500,,-0.15,,11.458548781700,mxdata
688561,奇安信,2025-12-31,2026-04-30,2025,4,-5.35,,53.989828062600,,-0.57,,47.173906312100,mxdata
688787,海天瑞声,2025-12-31,2026-04-30,2025,4,1.350129002400,,48.084001672700,,0.24,,13.730834697700,mxdata
688795,摩尔线程,2025-12-31,2026-04-30,2025,4,-3.601423409300,,65.570885349400,,-2.47,,25.293117634100,mxdata
688787,海天瑞声,2025-12-31,2026-04-30,2025,4,1.12602662300,,56.432979669200,,0.14,,13.903588678900,mxdata
688795,摩尔线程,2025-12-31,2026-04-30,2025,4,0.255536121300,,67.351401313500,,0.06,,25.634766473900,mxdata
000938,紫光股份,2025-12-31,2026-04-30,2025,4,12.03,,14.590940600500,,0.5893,,81.849190186700,mxdata
000959,首钢股份,2025-12-31,2026-04-30,2025,4,1.99,,5.01883965700,,0.1284,,55.727617283600,mxdata
000970,中科三环,2025-12-31,2026-04-30,2025,4,1.41,,10.781969752100,,0.0759,,27.199349942700,mxdata
000977,浪潮信息,2025-12-31,2026-04-30,2025,4,11.55,,4.88341781100,,1.639,,73.635847407500,mxdata
000988,华工科技,2025-12-31,2026-04-30,2025,4,13.97,,21.220097232800,,1.47,,51.406325370200,mxdata
000938,紫光股份,2025-12-31,2026-04-30,2025,4,5.21,,12.882941241400,,0.2755,,82.371549539100,mxdata
000959,首钢股份,2025-12-31,2026-04-30,2025,4,0.35,,4.641107745800,,0.0226,,55.70121982400,mxdata
000970,中科三环,2025-12-31,2026-04-30,2025,4,0.25,,12.840132382800,,0.0136,,24.296380311200,mxdata
000977,浪潮信息,2025-12-31,2026-04-30,2025,4,2.75,,6.639155141200,,0.4119,,73.210700047600,mxdata
000988,华工科技,2025-12-31,2026-04-30,2025,4,5.61,,19.811644928800,,0.64,,48.751683468200,mxdata
002624,完美世界,2025-12-31,2026-04-30,2025,4,0.91940763800,,60.276295411300,,0.39,,33.734396759400,mxdata
002714,牧原股份,2025-12-31,2026-04-30,2025,4,0.916133848700,,17.818111080100,,2.88,,54.150762381100,mxdata
002747,埃斯顿,2025-12-31,2026-04-30,2025,4,2.4,,29.450043651500,,0.05,,78.557215826200,mxdata
002624,完美世界,2025-12-31,2026-04-30,2025,4,1.432412495600,,66.714689932700,,0.05,,30.165185344900,mxdata
002714,牧原股份,2025-12-31,2026-04-30,2025,4,-1.472813654300,,5.171922017100,,-0.22,,50.731164840600,mxdata
002747,埃斯顿,2025-12-31,2026-04-30,2025,4,4.95,,30.393911360300,,0.1128,,69.181733242400,mxdata
300682,朗新科技,2025-12-31,2026-04-30,2025,4,1.63,,41.479847654700,,0.1,,29.392537621200,mxdata
301666,大普微,2025-12-31,2026-04-30,2025,4,-9.719601634300,,3.511057673900,,-1.22,,85.653851684100,mxdata
600019,宝钢股份,2025-12-31,2026-04-30,2025,4,5.07,,7.239198002900,,0.48,,37.967532911800,mxdata
600050,中国联通,2025-12-31,2026-04-30,2025,4,5.39,,23.536875941100,,0.292,,43.89426604900,mxdata
600160,巨化股份,2025-12-31,2026-04-30,2025,4,2.618799683800,,28.232825138600,,1.4,,38.478083057200,mxdata
300682,朗新科技,2025-12-31,2026-04-30,2025,4,-0.73,,50.573879221700,,-0.0461,,27.139941679300,mxdata
301666,大普微,2025-12-31,2026-04-30,2025,4,60.709377365100,,37.556371268400,,0.94,,78.441458874800,mxdata
